name,author,category,description
Динамические системы в нейробиологии,Юджин М. Ичхикевич,Медицинский,"Объясняет взаимосвязь электрофизиологии, нелинейной динамики и вычислительных свойств нейронов, причем каждая концепция представлена ​​с точки зрения как нейробиологии, так и математики и иллюстрируемой с использованием геометрической интуиции.Чтобы моделировать поведение нейронов или интерпретировать результаты моделирования исследований, нейробиологи должны обращаться за методами нелинейной динамики.Эта книга предлагает введение в теорию нелинейных динамических систем для исследователей и аспирантов по нейробиологии.Это также предоставляет обзор нейробиологии для математиков, которые хотят изучить основные факты электрофизиологии.Динамические системы в нейробиологии представляют собой систематическое изучение взаимосвязи электрофизиологии, нелинейной динамики и вычислительных свойств нейронов.Он подчеркивает, что обработка информации в мозге зависит не только от электрофизиологических свойств нейронов, но и от их динамических свойств.Книга представляет динамические системы, начиная с одно- и двухмерных моделей типа Ходжкина-Хексли и продолжая описание разрыва систем.Каждая глава поступает от простого к комплексу и обеспечивает выборочные проблемы в конце.Книга объясняет все необходимые математические концепции с использованием геометрической интуиции;Он включает в себя множество фигур и несколько уравнений, что делает его особенно подходящим для нематематиков.Каждая концепция представлена ​​с точки зрения как нейробиологии, так и математики, обеспечивая связь между двумя дисциплинами.Теория нелинейных динамических систем лежит в основе вычислительных исследований нейробиологии, но она не является стандартной частью учебной программы для выпускников нейробиологической программы - или преподаваемой математической или физикой, таким образом, подходящим для студентов биологии.Эта книга предлагает студентам и исследователям нейронауки всесторонний отчет о концепциях и методах, которые все чаще используются в вычислительной нейробиологии.Дополнительную главу о синхронизации, с более продвинутым материалом, можно найти на веб -сайте автора www.izhikevich.com."
Нейроэкономика,"Кристиан К. Рафф, Скотт А. Хуеттель",Медицинский,"Рост нейроэкономики как академической дисциплины был неразрывно связан с разработкой методов исследований для изучения функции мозга и ее связи с поведением.Цель этой главы состоит в том, чтобы дать обзор этих методов на беглом уровне, и в то же время направлять читателя к превосходным учебникам и основным исследовательским статьям для более подробной информации.Глава посвящена в первую очередь на концептуальных вопросах, связанных с выбором техники исследования и оценке результатов с использованием различных методов.Таким образом, он в первую очередь предназначен для тех, кто новичок в нейроэкономике и когнитивной нейробиологии и кто ищет руководство по оценке сильных сторон и ограничений опубликованной работы.Соответственно, каждый метод вводится в сочетании с конкретными примерами, взятыми из недавних нейроэкономических исследований."
Слуховая нейробиология,"Ян Шнупп, Израиль Нелкен, Эндрю Дж. Кинг",Медицинский,"Интегрированный обзор слуха и взаимодействия физических, биологических и психологических процессов, лежащих в основе.Каждый раз, когда мы слушаем - речь, к музыке, к шагам, приближающимся или отступающему - наше слуховое восприятие является результатом длинной цепочки разнообразных и сложных процессов, которые разворачиваются в источнике самого звука, в воздухе, в наших ушах и, прежде всего, в нашем мозге.Слух - это «повседневное чудо», которое, несмотря на ошеломляющую сложность, кажется легким.Эта книга предлагает интегрированный отчет о слушании с точки зрения нейронных процессов, которые происходят в разных частях слуховой системы.Поскольку слушание является результатом взаимодействия стольких физических, биологических и психологических процессов, книга объединяет различные аспекты слуха, включая акустику, математику обработки сигналов, физиологию уха и центральных слуховых путей, психоакустика, речи и музыки - в целом."
Методы социальной нейробиологии,"Эдди Хармон-Джонс, Дженнифер С. Пиер",Психология,"Прямо и практично, это первая книга, которая предоставила подробное руководство по использованию нейробиологических методов при изучении социального поведения, личности и аффекта человека.Каждая глава четко вводит общий метод, приводит примеры применений метода, обсуждает его сильные стороны и ограничения и рассматривает конкретные соображения экспериментального проекта.Написанная признанными экспертами, главы охватывают методы нейровизуализации, генетическое измерение, гормональные методы, исследования поражения, ответы на глазах, электромиография лица, реакция вегетативной нервной системы и моделирование на основе нейронных сетей."
Мозг в школе: образовательная неврологии в классе,"Гик, Джон",Образование,"OM Pædagogisk Neurovidenskab.Хвад Кан недооценивает lære af Kognitiv Hjerneforskning Og Omvendt.Med Praktiske eksempler fra klasseværelset.Хенвендер Сиг до ненормативного качества, Forældre, Politikere M.fl."
Оксфордский справочник философии и нейробиологии,Джон Бикл,Философия,"Оксфордский справочник философии и нейробиологии представляет собой современную коллекцию междисциплинарных исследований, охватывающих философию (науки, разум и этика) и нынешней нейробиологии.Содержит главы, написанные некоторыми из наиболее выдающихся философов, работающих в этой области, и в некоторых случаях в соавторстве с нейробиологи, этот том отражает как широту, так и глубину текущей работы в этом захватывающем поле.Темы включают природу объяснения в нейробиологии;является ли и как текущая нейробиология редукционистской;Последствия текущих исследований в области нейробиологии обучения и памяти, восприятия и ощущения, нейрокомпьютационного моделирования и нейроанатомии;расцветающая область нейроэтики и нейробиология мотивации, которая все чаще информирует ее;Последствия от неврологии и клинической нейропсихологии, особенно в свете некоторых странных симптомов, включающих искажение самости;степень и последствия множественной реализации в реальной нейробиологии;новая область нейроудамонии;и нейрофилософия субъективности.Этот том будет заинтересовать философов, работающих во многих областях, которые хотят увидеть, как текущая нейробиология приносит непосредственно на философские проблемы.Это также будет интересно для нейробиологов, которые хотят узнать, как исследовательские программы некоторых из их коллег обогащаются взаимодействием с философами, и, наконец, с теми, кто работает в любой междисциплинарной области, которые хотят увидеть, как два, казалось бы, разнородные дисциплины-одну традиционную и гуманистическую, а также другие новые и научные-объединены для обоих дисциплин."
Оксфордский справочник по поведенческой нейробиологии развития,"Марк Блумберг, Джон Фриман, Скотт Робинсон",Психология,"Оксфордский справочник по поведенческой нейробиологии развития является оригинальной справочной работой в растущей области поведенческой нейробиологии развития, которая в последние годы появилась в качестве важной сестринской дисциплины психобиологии развития.Это руководство, часть Оксфордской библиотеки нейробиологии, представляет собой введение в последние достижения в области исследований на пересечении науки о развитии и поведенческой нейробиологии, одновременно подчеркивая основные исследования психобиологии развития.Вкладчики Оксфордского справочника по поведенческой нейробиологии развития взяты из различных областей, включая психобиологию развития, нейробиологию, сравнительную психологию и эволюционную биологию, демонстрируя возможности для продвижения нашего понимания поведенческого и нейронного развития посредством улучшенных взаимодействий между параллельными дисциплинами.В поле для сотрудничества и интеграции Оксфордский справочник по поведенческой нейробиологии развития обеспечивает беспрецедентный обзор концептуальных и методологических проблем, касающихся сравнительной и развивающей нейробиологии, которая может служить дорожной картой для исследователей и учебника для преподавателей.Его широкий охват будет стимулировать новые идеи и заставит новое сотрудничество в этой быстро растущей области."
Латерализованный мозг,"Себастьян Окленбург, Onur Güntürkün",Наука,"Латерализованный мозг: нейробиология и эволюция полушарии асимметрии являются современным преподавательским ресурсом для преподавателей нейробиологии, которые преподают курсы, касающиеся асимметрии полушария.Книга предоставляет студентам всю соответствующую информацию по этому вопросу, а также предоставляет начинающим исследователям в этой области актуальный обзор соответствующей, предыдущей работы.Он идеально подходит для курсов по асимметрии полушария, то есть функциональных или структурных различий между левым и правым полушариями мозга, а также подчеркивает, как широко распространенное использование современных методов нейровизуализации, таких как МРТ и DTI, полностью изменило способ изучения гемисферического асимметрии.Согласно предисловию, главная цель латерализованного мозга-предоставить «актуальный преподавательский ресурс по асимметрии полушария ... [и] познакомить студентов всех уровней с увлекательными темами полушария асимметрии» (стр. XV) ... (Себастьян Окленбург и на onuur-günturururururururunurвыполняя гигантскую задачу, которую они сами поставили.Они могут гордиться тем, чего они достигли. ~ Алан А. Битон, факультет психологии, Университет Суонси, Суонси, Великобритания, в латеральности: асимметрия тела, мозга и познания, июль 2018 г. - включает в себя ссылки на ключевые статьи, книги, протоколы и онлайн -ресурсы для дополнительных, подробных исследований - классические исследования, которые помогли, в полевых полевых конфессиях, которые разветвленные.Вводные рассказы (например, классические клинические случаи) в качестве отправной точки для каждой главы"
Понимание нейробиологии в первые годы,Салли Фезерстоун,Образование,"Перевод исследований о нейробиологии ребенка на практику в образовании является пугающей перспективой для большинства практикующих.На самом деле, многие считают это чреватыми трудностями и рискованными.Однако важность этого исследования никогда не была более важной.В контексте первых лет в Великобритании произошел значительные изменения в последние годы, с множеством правительственных регулирования и руководства, а также национальный переход к свободному правосудию по уходу за детьми в все более раннем возрасте.В сочетании с растущим давлением для подотчетности в «закрытии разрыва» между детьми -обездоленными и теми, кто более удачлился, эти давления делают фундаментальным, что люди, работающие с маленькими детьми, понимают, что говорит нам нейробиология, и что более важно, что это не так.Практикующие, менеджеры -учителя и губернаторы в условиях и школах будут призваны не только учитывать достижение своих детей, как измерено в тестах, но и в том, как дети готовы к заработке на протяжении всей жизни, что будет поддерживать их на всю оставшуюся школьную жизнь и за его пределами.Эта книга представляет собой всеобъемлющее заявление о позиции для практиков, которое подчеркивает: где мы сейчас находимся;что мы знаем;Что мы не знаем;Какие исследования означают разработки для практиков и обстановки, и как это соответствует ожиданиям правительства в рамках EYFS.Салли Фезерстоун охватывает текущее мышление в области образовательных исследований и нейробиологии, как некоторые из этого были неверно истолкованы «ранними последователями» или «чрезмерными промоутерами», и как новая информация может помочь практикующим быть более эффективными в своей работе с маленькими детьми."
Нейробиология,"Марк Ф. Медведь, Барри В. Коннорс, Майкл А. Парадисо",Медицинский,"Нейробиологическая наука, изучение мозга, является широко оцененным за его стиль, удобный для студентов и исключительные произведения искусства и педагогика: изучение мозга-это ведущий учебник по биологии мозга и системы, лежащие в основе поведения.Это издание обеспечивает повышенное охват вкуса и запаха, циркадных ритмов, развития мозга и расстройств развития и включает новую информацию о молекулярных механизмах и функциональной визуализации мозга.Path of Discovery Boxes, написанный ведущими исследователями, подчеркивают основные текущие открытия.Кроме того, читатели смогут оценить свои знания нейроанатомии с иллюстрированным руководством по нейроанатомии человека, которая включает в себя перфорированную рабочую книгу самозвука.Надежный вспомогательный пакет этого издания включает в себя связанный студенческий компакт-диск, ресурсный компакт-диск инструктора, веб-сайт подключения и Liveadvise: Neuroscience Online Supting Sutroing."
Мозговое искусство и нейробиология,Дэвид Грубер,Психология,"Первая в своем роде, эта книга исследует художественные представления о мозге после роста современных нейронаук, изучая взаимодействие искусства и науки и решает некоторые критические культурные последствия.Плетение схемы МРТ на семейное одеяло.Сканирование мозга философа, размышляя о ее собственной смерти и повесить его в музее.Это искусство или наука или что-то в этом роде?Что это значит?Как мы можем ответить?В этой новаторской новой книге Дэвид Р. Грубер исследует соблазнительное и влиятельное положение нейронаук на фоне растущего интереса к аффектам и материальности, как и в художественных представлениях человеческого мозга.Внося вклад в дебаты, связанные с ценностью и/или целью междисциплинарного взаимодействия, происходящего в нейро-мутности, Грубер подчеркивает необходимость критического культурного анализа в этой области.В связи с новым материализмом и теорией аффекта книга приводит текущий и конкретный пример постоянного сдвига от конструктивистских линз, утверждая, что влияние относительно новых методов нейробиологии (ЭЭГ, МРТ и МРТ) на изобразительное искусство еще не полностью реализовано.Фактически, сама идея мозга, как он виден и встречается сегодня-или «мозг», как называет Грубер-оставляет за собой критические, дикие и мятежные переосмысления.Освещая, как художественное взаимодействие с мозгом часто является чувственным и наводящим на мысль, даже если они основаны на объективистских импульсах и связаны с научным реализмом, эта книга идеально подходит для ученых в области искусства, медиа -исследований, социологии и английских отделов, а также визуальных художников и всех, кто серьезно участвует в дискурсах мозга."
Введение в когнитивную нейробиологию на основе моделей,"Birte U. Forstmann, Eric-Jan Wagenmakers",Медицинский,"Две недавние инновации, появление формальных когнитивных моделей и добавление данных когнитивной нейробиологии к традиционным поведенческим данным привели к рождению новой междисциплинарной области исследования: когнитивная нейробиология на основе модели.Несмотря на растущий научный интерес к когнитивной нейробиологии на основе моделей, немногие активные исследователи и еще меньше студентов хорошо знают двух составляющих дисциплин.Основная цель этой отредактированной коллекции - способствовать интеграции когнитивного моделирования и когнитивной нейробиологии.Эксперты в этой области будут предоставлять главы в стиле учебного пособия, которые объясняют конкретные методы и подчеркивают их полезность с помощью конкретных примеров и многочисленных тематических исследований.Книга также будет включать в себя тщательный список ссылок, указывающих на читателя на дополнительную литературу и онлайн -ресурсы."
Нейробиология и право,"Антонио д'Алуя, Мария Чиара Эрриго",Закон,"В последние годы произошли чрезвычайные события в области нейробиологии, что вызвало ряд обсуждений в юридической области.В этой книге изучаются различные взаимодействия между нейробиологией и миром права, и исследует, как нейробиологические результаты могут повлиять на некоторые фундаментальные правовые категории и как закон должен быть реализован в таких случаях.Книга разделена на три основные части.Начиная с общего обзора конвергенции нейробиологии и закона, первая часть описывает важность их непрерывного взаимодействия, проблемы, которые ставят нейробиологию для концепций свободной воли и ответственности, а также специфические характеристики «новой» когнитивной свободы.В свою очередь, вторая часть рассматривает феномен когнитивного и морального улучшения, а также использование нейротехнологии и их влияние на здоровье, самоопределение и концепцию человека.Третья и последняя часть исследует использование нейробиологических результатов как в преступных, так и в гражданских делах, и стремится определить, могут ли они предоставить ценные доказательства и облегчить оценку личной ответственности, помогая разрешить дела.Книга является результатом междисциплинарного диалога с участием юристов, философов, нейробиологов, специалистов по криминалистической медицине и ученых гуманитарных наук;Кроме того, он предназначен для широкого распространения читателей, заинтересованных в понимании влияния научных и технологических разработок на жизнь людей и на наши социальные системы."
"Познание, мозг и сознание","Бернард Дж. Баарс, Николь М. Гейдж",Психология,"Познание, мозг и сознание, второе издание, дают студентам и читателям обзор изучения человеческого мозга и его когнитивного развития. Он обсуждает молекулы мозга и их основную функцию, которая заключается в том, чтобы помочь переносить сигналы мозга в различные части человеческого тела.Эти молекулы также важны для понимания языка, обучения, восприятия, мышления и других когнитивных функций нашего мозга.В книге также представлены инструменты, которые можно использовать для просмотра человеческого мозга посредством визуализации или записи мозга. Новые к этому изданию являются границы в текстовых полях когнитивной нейробиологии, каждый из которых сосредоточен на ведущем исследователе и их теме опыта.Существует новая глава о генах и молекулах познания;Все другие главы были тщательно пересмотрены, основываясь на самых последних открытиях. Этот текст предназначен для студентов и аспирантов в области психологии, нейробиологии и связанных с ними дисциплин, в которых преподают когнитивную нейробиологию.- Новое издание очень успешного учебника - полностью пересмотрено, чтобы отразить новые достижения, и отзывы усыновителей и учеников - включает в себя новую главу о генах и молекулах познания - решения для студентов, доступных по адресу http://www.baars-gage.com/ для учителей:Ключевые понятия для каждой главы.-Учебник с простым для понимания тематический подход: в некотором смысле, который ясно для студентов из различных академических опытов, текст вводит такие концепции, как рабочая память, избирательное внимание и социальное познание.-Пошаговое руководство по представлению студентов для анатомии мозга: цветная графика была тщательно отобрана для иллюстрации всех точек, и исследование объяснено.Красиво чистые рисунки художника используются для «построения мозга» сверху донизу, упрощая макет мозга.Для студентов:-Легкое для чтения, полное введение в науку о мозге разума: все главы начинаются с разумных функций и создают последовательную картину их мозговой основы.Единственная, широко принятая функциональная структура используется для захвата основных явлений.- Средства для обучения включают сайт поддержки студентов с учебными пособиями и упражнениями, новым мини-атласом мозга и полный глоссарий технических терминов и их определений.- богато иллюстрируется сотнями тщательно выбранной цветной графики для улучшения понимания."
Введение в прикладную поведенческую нейробиологию,Лора А. Фриберг,Психология,"Введение в прикладную поведенческую нейробиологию исследует связь между нейробиологией и множественными областями, включая психологические расстройства, криминалистику, образование, поведение потребителей, экономику, лидерство, здравоохранение, робототехника и искусственный интеллект.Книга гарантирует, что студенты имеют прочную основу в истории поведенческой нейробиологии;Его применимость к другим аспектам науки и политики, а также хорошее понимание основных методологий и их ограничения для помощи навыкам критического мышления.Написанный в стиле, подходящем для студентов, он обеспечивает очень доступное введение в основные структурные и функциональные особенности нервной системы человека.Затем в нем обсуждаются приложения для различных областей в обществе, в том числе о том, как поведенческая нейробиология используется правовой системой, в образовательной практике, рекламе, экономике, лидерстве, развитии и восстановлении от проблем со здоровьем и в робототехнике.В каждой из главных глав представлены проблемы, которые просят решить нейробиологию, используются методы, а также проблемы и успехи, испытываемые учеными и практиками в каждой области.Это необходимо прочитать для всех продвинутых студентов и аспирантов в области биологической психологии, нейробиологии и клинической психологии, которые хотят знать, что действительно может сделать нейронаука для решения реальных проблем."
Трансляционная нейробиология,Марк Х. Тушинский,Медицинский,"Трансляционная нейробиология предлагает далеко идущую и проницательную серию перспектив на усилия по привлечению потенциально революционных новых классов терапии в клинику, тем самым трансформируя лечение заболеваний нервной системы человека.Большие достижения в области основной нейробиологии, молекулярной биологии, геномики, генной терапии, клеточной терапии, биологии стволовых клеток, информационных технологий, нейро -устройств, реабилитации и других за последние 20 лет создали беспрецедентные возможности для лечения необработанных расстройств нервной системы.Эта книга содержит широкую, но подробную выборку многих из этих усилий, а также методы получения клинического перевода и оценки клинических результатов.Среди охваченных тем - болезнь Альцгеймера, болезнь Паркинсона, инсульт, рассеянный склероз, эпилепсия, болезнь моторных нейронов, боль, врожденные ошибки метаболизма, опухоли головного мозга, повреждение спинного мозга, нейропротезии, реабилитационные и клинические испытания.Трансляционная нейробиология предназначена для основных нейробиологов, трансляционных нейробиологов и клиницистов, которые стремятся получить представление о природе и перспективе трансляционной терапии в текущую эпоху.Как студенты, так и известные специалисты получат выгоду от контента."
Нахождение сознания,Уолтер Синнотт-Армстронг,Психология,"Современная медицина позволяет нам поддерживать много людей после того, как они получили тяжелое повреждение головного мозга и не проявляют надежных внешних признаков сознания.Многие такие пациенты неверно диагностируются как находятся в постоянном вегетативном состоянии, когда они на самом деле находятся в минимально сознательном состоянии.Эта ошибка имеет далеко идущие последствия для лечения и прогноза.Чтобы решить эту проблему, нейробиологи недавно разработали новые методы сканирования мозга, чтобы обнаружить сознание у некоторых из этих пациентов и даже задавать им вопросы, в том числе «Хотите остаться в живых?»Поиск сознания: нейробиология, этика и закон тяжелого повреждения головного мозга решают много вопросов, касающихся этих недавних нейробиологических методов: являются ли эти методы действительно сознание?Пациенты чувствуют боль?Должны ли мы решить, разрешать ли они им умереть или они компетентны, чтобы решать сами?И какие виды лечения должны предоставить правительства и больницы?Этот отредактированный том предоставляет контекстную информацию, рассматривает проблемы и позиции и занимает спорные позиции от широкого спектра выдающихся участников в областях, начиная от неврологии и неврологии до закона и политики до философии и этики.Поиск сознания должен интересоваться не только нейробиологов, клиницистами и этиками, но и всем, кто может пострадать от повреждения головного мозга, в том числе и все мы."
Нейробиология медитации,"Yi-Yuan Tang, Rongxiang Tang",Медицинский,"Нейронаука медитации: понимание индивидуальных различий исследует индивидуальные различия в обучении и практике медитации, а также дает представление о том, как эффективно учиться и практиковать.Книга всесторонне охватывает исследования в области мозга и сетей, которые опосредуют положительное влияние медитации на физическое и психическое здоровье.Хотя в нем рассматривается, как люди отличаются от того, как они учатся и практикуют медитацию, это подчеркивает, как основные механизмы различаются по обучению и практике медитации и как они остаются неясными для исследователей.Эта книга рассматривает разрыв в исследовании и исследует науку о мозге, стоящую за медитацией.- Изучает биологические механизмы, которые приводят к индивидуальным различиям - включает в себя визуализацию мозга и физиологические записи для дальнейшего измерения индивидуальных различий - охватывает генетическую связь между медитационным обучением и практикой - исследует, как меняется медитация на протяжении всей жизни - от детей к сенаторам."
